No.,지역,신당명,주소,NOTES,소유권,상태,지목,비고
26,구좌읍,종달 본향 오막개당,종달리 70,,제주도,,임야,
27,구좌읍,종달리 조개왓 틀목 일뤠당,종달리 71 2-1,,개인,,전,종달리 거주
28,구좌읍,종달리 생개납 돈짓당,,해변,,,,
29,구좌읍,송당리 본향 웃손당 당오름 백주할망당,송당리 산 1 99-1,,마을,,임야,
30,구좌읍,송당리 상덕천 체오름 일뤠당,,,개인,,목장,송당리
31,구좌읍,송당리 상덕천 체오름 산신당,송당리 산 61,,개인,,목장 용지,송당리 거주
32,구좌읍,송당리 본향 알손당 고부니모루 소천국 하르방당,송당리 산 8-1,,마을,폐당,임야,송당리 새마을회
33,구좌읍,하덕천리 본향 거멀 문국성 산신당,덕천리 289,,개인,,임야,제주시 거주
34,구좌읍,하덕천리 웃산전 사라흘당,덕천리 산 49-3,,기업,,임야,
35,조천읍,신촌리 본향 큰물머리 영등빌레당,신촌리 2257,,제주도,,대지,
36,조천읍,신촌리 일뤠당,,GPS오류,,,,
37,조천읍,신촌리 동동네 일뤠낭거리 일뤠당,,GPS오류,,,,
38,조천읍,조천리(하동) 새콧할망당 (고망할망당),조천리 2730-2,,국가,,도로,
39,조천읍,조천리 새당,조천리695,,개인,,전,"제주시 거주, 대위자-제주도"
40,조천읍,신흥리 본향 대방황수당,신흥리 51 1 -1,,제주도,폐당,종교 용지,
41,조천읍,신흥리 볼래낭할망당,신흥리 545-1,,국가,,도로,
42,조천읍,신흥리 서카름 가문이알 김씨조상당,,도로,,,,주소 없음
43,조천읍,함덕리 본향 알카름 서물당,함덕리 3155-2,,북제주군,,도로,
44,조천읍,함덕리존나니모루 일뤠당,함덕리 1698,,제주도,,임야,
45,조천읍,함덕리 머체 일뤠당,함덕리 91 1,,개인,폐당,전,부산거주
46,조천읍,함덕리 한양할망당,함덕리2547-1,,,,,
47,조천읍,함덕리 지르 일뤠당,함덕리 3061,등기없음,기업,멸실,대지,
48,조천읍,함덕리 서모오름 산신당,"함덕리3029, 3033-1",,"개인, 공동",폐당,건물,"제주도 거주, 토지등기 없음"
49,조천읍,함덕리 문두낭당,함덕리 178-1,,개인,,임야,파주시 거주
50,조천읍,북촌리(뒷개) 본향 가릿당,북촌리 1362,,개인,,대지,북촌리 거주
51,조천읍,북촌리 당구들동산 당팟당,북촌리 11 48,,개인,,과수 원,"상속, 북촌리 거주, 대위자 일본 거주"
52,조천읍,북촌리동카름 칠머리당,"북촌리 2688,",도로에 포함,국가,폐당,도로,
53,조천읍,선흘리 (알선흘) 본향 당동산 산신당,선흘리 2661,,개인,,전,"증여, 조천리 거주"
54,조천읍,선흘리 (웃선흘) 탈남밧 일뤠당,선흘리 261 2-27,,개인,,임야,경상북도 거주
55,조천읍,와흘리 본향 한거리 하로산당,와흘리 1 274-1,,마을,,임야,와흘리 새마을회
56,조천읍,와흘리 고평동 본향 궷드르 산신당,와흘리 11 4,,개인,,전,제주시 거주
57,조천읍,대흘리 본향 비지남밧 하로산당,대흘리 2201,,개인,,전,"상속, 대흘리 거주"
58,조천읍,와산리 하르방당 베락당,와산리 694-1,,제주도,폐당,잡종 지,
59,조천읍,와산리 본향 당오름 불돗당,와산리 489-2,,마을,,전,와산리 새마을회
60,조천읍,와산리 당새미 토광물 산신당,와산리 145,,개인,,전,"제주시 거주, 근저당 설정"
61,조천읍,와산리 엄낭굴 철산이도 산신당,와산리 1471,,개인,,전,함덕리 거주
62,조천읍,와산리 골왓술 산신당,와산리 573,,개인,,과수 원,"와산리 거주, 근저당 설정"
63,조천읍,와산리 웃질왓 감낭밧 한씨조상당,와산리 195,도로 포함,개인,,대지,와산리 거주
64,조천읍,교래리 본향 리하로산당,교래리 401,,"개인, 공동",,임야,울산시 거주
65,조천읍,교래리 누룩남도 일뤠당,교래리 산56-4,,기업,폐당,유원 지,
66,애월읍,봉성리 본향 구머리 송씨할망당,봉성리 3683,,개인,,전,어도리 거주
67,애월읍,납읍리 본향 바구사니우영 돗당,납읍리 1721,,개인,,전,납읍리 거주
68,애월읍,납읍리 홍골당,어름리 산20,,국가,,임야,
69,애월읍,어음1리 본향 개나ᄆᆞ들비멘잇당,어음리 3708-2,,마을,,창고 용지,어음1 리 새마을회
70,애월읍,어음2리 본향 몽둥이왓 돔배물 축일당,어음리 3063-1,,"개인, 공동",,전,"어음2리 거주, 근 저당 설정"
71,애월읍,어음1 리 본향 상메초왓 송씨할망당,어음리 3379-3,,개인,,전,어음리 거주
72,애월읍,소길리 당팟 일뤠할망당,장전리 1636-2,,개인,,전,"증여, 소 길리 거주"
73,애월읍,하귀1 리( 동귀) 본향 제신당,하귀1 리 628,,"개인, 공동",폐당,전,하귀1 리 거주
74,애월읍,하귀1 리 해신당,하귀1 리 1 622,,개인,폐당,대지,제주시 거주
75,애월읍,고내리 본향 큰당,고내리 11 1 4,,제주도,,전,
76,애월읍,고내리 오름허릿당,고내리 81 9,,개인,,임야,경상남도 거주
77,애월읍,고내리 남당,,간척지,-,폐당,,주소 없음
78,애월읍,상․ 하가리 본향 오당빌레 할망당,하가리 846-1,,마을,,임야,하가리새 마을회
79,애월읍,상가리 큰신머들 새당하르방당,고내리산13-1 1,,"개인, 공동",,과수 원,하가리 거주
80,애월읍,하귀리 본향 돌코릿당,하귀2리 1 91 7-2,,제주도,,전,
81,애월읍,하귀리 해신당,하귀2리 2729,,마을,,대지,귀일 어촌계
82,애월읍,상귀리 본향 황다리궤당,유수암리 1 91 3,,마을,,체육 용지,유수암리 공동목장 조합
83,애월읍,신엄리 본향 당빌레왓 송씨할망당,신엄리 2672-3,,개인,,임야,제주시 거주
84,애월읍,구엄리 본향 모감빌레 송씨할망당,구엄리 833-1,,마을,,잡종 지,구엄리새 마을회
85,애월읍,수산리 본향 당팟 서목당,수산리 1 778-1,,개인,,과수원,수산리 거주
86,애월읍,용흥리 본향 진빌레 일뤠당,신엄리 2208-1,,개인,,전,대위자-제주도
87,애월읍,금성리 축일할망당,곽지리 1565,,마을,,임야,곽지리마 을회/ 제주도
88,애월읍,금성리 본향 개똥밧당,금성리 499,,개인,,전,제주시 거주
89,애월읍,곽지리 송씨 일뤠할망당,곽지리 1026,,"개인, 마을",,전,곽지리새 마을영농 조합법인
90,애월읍,애월리 굽은돌알 개당,애월리 556,,개인,폐당,전,고내리 거주
91,애월읍,애월리 해신당,애월리 1 81 9-44,,국가,,도로,
92,애월읍,장전리 본향 능선이 고지물 일뤠할망당,장전리 402,,개인,,과수원,제주시 거주
93,애월읍,중엄리 본향 송씨일뤠당,신엄리 3208,도로로 표시,국가,,도로,
94,애월읍,고성리 동구시물 마께왓당,광령리 3808-2,,북제주군,,도로,
95,애월읍,고성리 장털 일뤠당,광령리 4035-4,,개인,,전,애월읍 항몽로 거주
96,애월읍,광령1 리 본향 자운당,광령리 36-6,,마을,,잡종 지,광령1 리 새마을회
